|id|category|place_name|distance|x|y
1290|86|PK6|신세계백화점 센텀시티점 야외주차장|247|129.1298887935939|35.170768881661616
1291|86|PK6|신세계백화점 센텀시티점 주차장|25|129.1293460355717|35.16859945419495
1292|86|PK6|벡스코 주차장3|439|129.133876033771|35.1682980251717
1293|86|PK6|벡스코 제2전시장 지하주차장|597|129.13506601649487|35.16646574448562
1294|86|PK6|영화의전당 주차장|331|129.127644295247|35.1713931871335
1295|86|FD6|그랜드애플|353|129.131806898468|35.1663879943369
1296|86|FD6|더파티 센텀점|638|129.126345524752|35.1739455226063
1297|86|FD6|센텀마마뷔페|286|129.13151830328667|35.167019371991465
1298|86|FD6|센텀호텔 웨딩홀|332|129.13259137065185|35.167852061561625
1299|86|FD6|금수복국 센텀벡스코점|433|129.133454461795|35.1671159403589
1300|86|CE7|카페 오후의홍차|513|129.12826987375618|35.164068479457725
1301|86|CE7|유동커피 센텀로25점|334|129.1312477767421|35.17107568968332
1302|86|CE7|오디너리레시피|193|129.13096260595455|35.167844690781706
1303|86|CE7|스페이스단단 마틴3호점|690|129.12578721235099|35.174252704894066
1304|86|CE7|커피프론트|427|129.132230415236|35.1657965942052
1305|87|PK6|여의도한강공원 제2주차장|408|126.93114715615269|37.528855992432256
1306|87|PK6|여의도백화점 주차장|562|126.92713526536797|37.52090854857461
1307|87|PK6|MBC방송국뒤노상공영주차장|217|126.93023820635544|37.52452344202612
1308|87|PK6|IFC몰 주차장|302|126.925254621072|37.5248825960876
1309|87|PK6|여의도공원앞3 공영주차장|465|126.9238995976968|37.527987484229556
1310|87|FD6|진주집|599|126.926960229824|37.5205984955116
1311|87|FD6|바스버거 여의도점|150|126.92729317451683|37.52488026462298
1312|87|FD6|본보야지|197|126.926852221721|37.5246313157525
1313|87|FD6|가양칼국수|605|126.93136936451896|37.52093631287084
1314|87|FD6|희정식당|220|126.930905207061|37.5262339360571
1315|87|CE7|마호가니커피 여의도점|439|126.92370837401884|37.524685188930256
1316|87|CE7|더플레이트디저트 더현대서울점|96|126.92911423064159|37.52518771236121
1317|87|CE7|10G|158|126.926742851839|37.525416921802
1318|87|CE7|노티드 여의도IFC|325|126.924871957013|37.5251760799749
1319|87|CE7|쓰리버즈 IFC점|243|126.92589701977262|37.525047884281086
1320|88|PK6|BL타워 민영주차장|415|128.593314539843|35.8696602828287
1321|88|PK6|메트로센터주차장|283|128.593404958054|35.8654399293326
1322|88|PK6|약령시 서문공영주차장|328|128.58831307915386|35.86891369601329
1323|88|PK6|아이파킹 동성로중앙주차장 2.28기념중앙공원점|786|128.59833532765035|35.869931500694186
1324|88|PK6|경상감영공영주차장|703|128.59276239357132|35.872717975731014
1325|88|FD6|삼송빵집 본점|336|128.59344632065785|35.86861140604418
1326|88|FD6|스시준|88|128.5911745720901|35.86728620339581
1327|88|FD6|유창반점 남산본점|296|128.5886719667095|35.86448613327899
1328|88|FD6|신라식당|443|128.59424886001116|35.86932347300189
1329|88|FD6|도마29|469|128.59572928276066|35.86579926727569
1330|88|CE7|놀숲 대구동성로점|588|128.59656371457|35.8688187228478
1331|88|CE7|벌툰 파리지앵 동성로중앙점|488|128.595917797569|35.8675260566052
1332|88|CE7|맨션5|323|128.59209795072692|35.869280813929684
1333|88|CE7|롤러커피|262|128.5893607410422|35.86449504411073
1334|88|CE7|아리츠|137|128.591835342673|35.8673882885161
1335|89|PK6|인천국제공항 제1여객터미널 P2장기주차장|869|126.45355719485993|37.444781381290255
1336|89|PK6|인천공항 1터미널 예약주차장|588|126.4527050629889|37.44184376952922
1337|89|PK6|인천공항 T1 P4장기주차장|587|126.452480973879|37.4417364131733
1338|89|PK6|인천국제공항 제1합동청사 주차장|614|126.461112334325|37.4407381247167
1339|89|PK6|오렌지듄스영종GC 주차장|238|126.45557389119|37.4350165903157
1340|89|FD6|짱구네 업무단지점|632|126.46271161639923|37.43863525207535
1341|89|FD6|파라다이스시티 온더플레이트|55|126.4564375279343|37.43713432324919
1342|89|FD6|동후|620|126.462638317113|37.4384565198497
1343|89|FD6|그랜드하얏트인천 레스토랑8|397|126.457452925247|37.4404943304311
1344|89|FD6|진가와 파라다이스시티점|4|126.455781882234|37.4371889706089
1345|89|CE7|폴바셋 영종도파라다이스시티점|9|126.45590271623293|37.4371985369518
1346|89|CE7|파라다이스시티 라운지파라다이스|4|126.45584066309208|37.437185637218164
1347|89|CE7|그랜드하얏트인천 그랜드카페|282|126.45611292689077|37.43969078279294
1348|89|CE7|파라다이스시티 가든카페|14|126.45586258265746|37.43727944265028
