id|brandNm|product|location|date|post_date|origin_data_index|start_ymd|end_ymd|date_diff|address_name|address|x|y
48|ATT|슈즈, 주얼리|현대백화점 무역센터|8.23~8.29|2019-08-23|61.0|20190823|20190829|6|현대백화점 무역센터점|서울 강남구 테헤란로 517|127.05977475920854|37.508651435836725
49|리카리카|애견용품|신세계 강남|4/5~4/7|2019-04-05|62.0|20190405|20190407|2|신세계백화점 강남점|서울 서초구 신반포로 176|127.00432032924516|37.505305732081965
50|BARULAB|화장품|현대백화점 판교|2/22~2/28|2019-02-26|63.0|20190222|20190228|6|현대백화점 판교점|경기 성남시 분당구 판교역로146번길 20|127.11204751299005|37.39279718014944
51|델픽|팝업스토어|서울 성동구 성수이로 12길 2|12.16(금)-01.31(수)|2023-01-05|64.0|20231216|20240131|46|델픽 팝업스토어|서울 성동구 성수이로12길 2|127.05555657713914|37.53990025493932
52|CJ제일제당 얼티브|식물성 음료|마포구 양화로23길 22-7 2층|06.02(목)-06.12(일)|2022-06-10|65.0|20220602|20220612|10|코코샌드|서울 마포구 양화로23길 22-7|126.92525157239582|37.55967198533026
53|프레스토|팝업스토어|신세계백화점|02.01 - 03.31|2021-02-15|66.0|20210201|20210331|58|신세계백화점 강남점|서울 서초구 신반포로 176|127.00432032924516|37.505305732081965
54|뮤트뮤즈|지갑, 가방|현대백화점 판교점|2월 24일 - 3월 14일|2020-02-27|70.0|20200224|20200314|19|현대백화점 판교점|경기 성남시 분당구 판교역로146번길 20|127.11204751299005|37.39279718014944
55|LG|전자제품|성동구 성수이로7가길 9|4/7(목)-5/8(일)|2022-04-14|72.0|20220407|20220508|31|할아버지공장|서울 성동구 성수이로7가길 9|127.054835558322|37.5410980207173
56|막례스토랑|음식, 굿즈|영등포구 여의대로|07.01(금)-07.14(목)|2022-07-01|75.0|20220701|20220714|13|더현대 서울|서울 영등포구 여의대로 108|126.92844612411159|37.525872071029134
57|콩고물|떡|현대백화점 디큐브시티 B2 현대식품관|5월 6일(수) - 5월 12일(화)|2020-05-08|76.0|20200506|20200512|6|현대백화점 디큐브시티점|서울 구로구 경인로 662|126.88958060554663|37.50910419634123
58|버얼리|티웨어|롯데백화점 본점(중구 을지로 30)|9.23~10.5|2019-10-01|78.0|20190923|20191005|12|롯데백화점 본점|서울 중구 남대문로 81|126.98175414832635|37.564905601247865
59|WON SOJU|원소주|강남구 강남대로 162길 35 1층 (NICEWEATHER 가로수길점 마켓)|03.16(수) - 03.20(일)|2022-03-17|82.0|20220316|20220320|4|나이스웨더마켓|서울 강남구 강남대로162길 35|127.02117511258504|37.52076964884671
60|시몬스|굿즈|성동구 성수이로 12길 2, 1층|4월 1일 - 6월 28일|2020-04-16|83.0|20200401|20200628|88|델픽 팝업스토어|서울 성동구 성수이로12길 2|127.05555657713914|37.53990025493932
61|인가샌드위치|샌드위치|롯데잠실점|12/14~12/20|2018-12-14|84.0|20181214|20181220|6|롯데백화점 잠실점|서울 송파구 올림픽로 240|127.0985552869803|37.51201141930842
62|수원왕갈비통닭|통닭|롯데백화점본점|3/3~3/10|2019-03-07|86.0|20190303|20190310|7|롯데백화점 본점|서울 중구 남대문로 81|126.98175414832635|37.564905601247865
