|id|subway_name|subway_line|distance|x|y
102|26|종로3가역|1호선|395|126.992153252476|37.570420844523
103|26|종로3가역|5호선|109|126.9904176797898|37.57258941181964
104|26|종로3가역|3호선|278|126.9918757981544|37.571563287751246
105|27|홍대입구역|2호선|619|126.923778562273|37.5568707448873
106|27|홍대입구역|공항철도|674|126.927010430346|37.5573052656667
107|27|홍대입구역|경의중앙선|666|126.927118938976|37.5574494922411
108|28|국회의사당역|9호선|971|126.91783895106|37.5281465047706
109|28|샛강역|9호선|943|126.9283750591322|37.51737287009036
110|28|샛강역|신림선|970|126.929463427672|37.5171662943088
111|28|여의나루역|5호선|425|126.93298596744|37.5271469489465
112|28|여의도역|9호선|620|126.92466104293|37.5211700890445
113|28|여의도역|5호선|578|126.924397990207|37.5217753947299
114|29|건대입구역|2호선|910|127.06920291650829|37.54040751726388
115|29|성수역|2호선|358|127.056066999327|37.5445888153751
116|30|디지털미디어시티역|6호선|790|126.90127778415635|37.57601374718818
117|30|디지털미디어시티역|공항철도|455|126.89788185706144|37.57752092438604
118|30|디지털미디어시티역|경의중앙선|701|126.90069067398757|37.57740168656261
119|30|수색역|경의중앙선|364|126.895659474538|37.5808625683358
120|31|강남역|2호선|298|127.02800140627488|37.49808633653005
121|31|강남역|신분당선|440|127.028185245594|37.4967771303817
122|31|신논현역|9호선|482|127.025492036104|37.504811111562
123|31|신논현역|신분당선|373|127.024926154562|37.5036164990854
124|31|언주역|9호선|984|127.033970921595|37.5073353959717
125|31|역삼역|2호선|858|127.03646946847|37.5006744185994
126|32|고속터미널역|3호선|109|127.00512100872538|37.50454885557265
127|32|고속터미널역|9호선|75|127.004211793489|37.5059814899483
128|32|고속터미널역|7호선|221|127.005007834609|37.5033865633062
129|32|반포역|7호선|716|127.011586161943|37.5081614290284
130|32|사평역|9호선|975|127.015272484531|37.5042326273953
131|32|신반포역|9호선|755|126.996082392175|37.5035091412544
132|33|뚝섬역|2호선|396|127.04738727881|37.547241554679
133|33|서울숲역|수인분당선|497|127.044746216358|37.543645796605
134|33|응봉역|경의중앙선|784|127.034483653629|37.5499526279456
135|33|한양대역|2호선|869|127.043639802768|37.5557159860408
136|34|민락역|부산2호선|659|129.122097073991|35.1670631931086
137|34|벡스코역|동해선|752|129.136705372019|35.1712399344204
138|34|벡스코역|부산2호선|892|129.138867985335|35.1688335422589
139|34|센텀시티역|부산2호선|247|129.131763997578|35.1689480066604
140|35|뚝섬역|2호선|395|127.04738727881|37.547241554679
141|35|서울숲역|수인분당선|345|127.044746216358|37.543645796605
142|35|응봉역|경의중앙선|849|127.034483653629|37.5499526279456
143|36|뚝섬역|2호선|395|127.04738727881|37.547241554679
144|36|서울숲역|수인분당선|345|127.044746216358|37.543645796605
145|36|응봉역|경의중앙선|849|127.034483653629|37.5499526279456
146|37|동구청역|대구1호선|742|128.631936380127|35.8840411124294
147|37|동대구역|대구1호선|98|128.627914631874|35.8775534467104
148|38|석촌역|8호선|889|127.107004062699|37.5054141216925
149|38|석촌역|9호선|924|127.10676479806769|37.504972845773686
150|38|송파나루역|9호선|910|127.11266171422027|37.51101671275264
151|38|잠실나루역|2호선|906|127.103808749487|37.5207124124456
152|38|잠실역|2호선|220|127.10023101886318|37.51331105877401
153|38|잠실역|8호선|199|127.103270523629|37.5143121584933
154|39|신사역|3호선|531|127.02030856272764|37.51643597531432
155|39|신사역|신분당선|596|127.019551734927|37.5160820085929
156|39|압구정역|3호선|810|127.02850865895756|37.52649127416921
157|40|압구정로데오역|수인분당선|108|127.0406027693898|37.5275184818021
158|41|목동역|5호선|930|126.86462527157516|37.526135115923466
159|41|오목교역|5호선|235|126.875307312696|37.5245340839144
160|43|석촌역|8호선|889|127.107004062699|37.5054141216925
161|43|석촌역|9호선|924|127.10676479806769|37.504972845773686
162|43|송파나루역|9호선|910|127.11266171422027|37.51101671275264
163|43|잠실나루역|2호선|906|127.103808749487|37.5207124124456
164|43|잠실역|2호선|220|127.10023101886318|37.51331105877401
165|43|잠실역|8호선|199|127.103270523629|37.5143121584933
166|44|강남역|2호선|0|127.02800140627488|37.49808633653005
167|44|강남역|신분당선|146|127.028185245594|37.4967771303817
168|44|신논현역|9호선|778|127.025492036104|37.504811111562
169|44|신논현역|신분당선|671|127.024926154562|37.5036164990854
170|44|역삼역|2호선|802|127.03646946847|37.5006744185994
171|45|봉은사역|9호선|309|127.060233935114|37.5142554489848
172|45|삼성역|2호선|670|127.06302321147605|37.508822740225305
173|45|삼성중앙역|9호선|374|127.053043676912|37.5129614511319
174|45|청담역|7호선|806|127.053717937903|37.519455579961
175|46|뚝섬역|2호선|395|127.04738727881|37.547241554679
176|46|서울숲역|수인분당선|345|127.044746216358|37.543645796605
177|46|응봉역|경의중앙선|849|127.034483653629|37.5499526279456
178|47|봉은사역|9호선|623|127.060233935114|37.5142554489848
179|47|삼성역|2호선|288|127.06302321147605|37.508822740225305
180|47|삼성중앙역|9호선|763|127.053043676912|37.5129614511319
181|48|봉은사역|9호선|623|127.060233935114|37.5142554489848
182|48|삼성역|2호선|288|127.06302321147605|37.508822740225305
183|48|삼성중앙역|9호선|763|127.053043676912|37.5129614511319
184|49|고속터미널역|3호선|109|127.00512100872538|37.50454885557265
185|49|고속터미널역|9호선|75|127.004211793489|37.5059814899483
186|49|고속터미널역|7호선|221|127.005007834609|37.5033865633062
187|49|반포역|7호선|716|127.011586161943|37.5081614290284
188|49|사평역|9호선|975|127.015272484531|37.5042326273953
189|49|신반포역|9호선|755|126.996082392175|37.5035091412544
190|50|판교역|신분당선|232|127.11119782955879|37.39477752734142
191|50|판교역|경강선|219|127.111982699564|37.394775885643
192|51|성수역|2호선|522|127.056066999327|37.5445888153751
193|52|홍대입구역|2호선|337|126.923778562273|37.5568707448873
194|52|홍대입구역|공항철도|305|126.927010430346|37.5573052656667
195|52|홍대입구역|경의중앙선|296|126.927118938976|37.5574494922411
196|53|고속터미널역|3호선|109|127.00512100872538|37.50454885557265
197|53|고속터미널역|9호선|75|127.004211793489|37.5059814899483
198|53|고속터미널역|7호선|221|127.005007834609|37.5033865633062
199|53|반포역|7호선|716|127.011586161943|37.5081614290284
200|53|사평역|9호선|975|127.015272484531|37.5042326273953
201|53|신반포역|9호선|755|126.996082392175|37.5035091412544
202|54|판교역|신분당선|232|127.11119782955879|37.39477752734142
